Name or Title,Reference,
Advocate,"1 John 2:1, D&C 110:4",
Advocate with The Father,1 John 2:1,
Almighty,Revelation 1:8,
Almighty God,"Revelation 19:15, Mosiah 18:13, Job 32:8",
Alpha and Omega,Revelation 1:8,
Anointed One,Acts 10:38,
Apostle and High Priest of our Profession,"Hebrews 3:1, 4:14, 10:21",
Author and Finisher of Our Faith,Hebrews 12:2,
Author of Eternal Salvation,Hebrews 5:9,
Balm of Gilead ,Jeremiah 8:22,
Beginning of the creation of God,Revelation 3:14,
Beloved and Chosen,Moses 4:2,
Beloved Son,"3 Nephi 11:7, Luke 9:35",
Beloved Son of God,Matthew 3:17; 17:5; Mark 9:7; Luke 3:22,
Blessed for Evermore ,2 Cor. 11:31,
Blessed of God,Psalm 45:2,
Branch,Jeremiah 23:5,
Bread From Heaven,John 6:32,
Bread of God,John 6:33,
Bread of Life,John 6:35,
Bridegroom,John 3:29,
Bright and Morning Star,Revelation 22:16,
Brightness of God\'s Glory,Hebrews 1:3,
By Whom God Made the Worlds,Hebrews 1:2,
Captain of Man\'s Salvation,Hebrews 2:10,
Carpenter,Mark 6:3,
Carpenter\'s Son,Matthew 13:55,
Chief Cornerstone,Ephesians 2:20,
Chosen of God,"1 Peter 2:4, 7",
Christ,"John 1:41, Matthew 16:16",
Consecrated for Evermore,Hebrews 7:28,
Consolation of Israel,Luke 2:25,
Counselor,"2 Nephi 19:6, Isaiah 9:6",
Creator,Isaiah 40:28,
Creator of All Things,Helaman 14:12,
Dayspring,Luke 1:78-79,
Deliverer,Romans 11:26,
Did No Sin,1 Peter 2:22,
Door of the Sheep,"John 10:7, 9",
Emmanuel,"Isaiah 7:14; 8:8, Matthew 1:23",
Eternal God,Deuteronomy 33:27,
Everlasting Father,Isaiah 9:6,
Exalted One,Psalm 89:19,
Exemplar,Restoration Proclamation,
Express Image of God\'s Person,Hebrews 1:3,
Faithful and true witness,Revelation 3:14,
Finisher of Our Faith,Hebrews 12:2,
First and the Last,"Revelation 1:11, D&C 110:4",
First Begotten,Hebrews 1:6,
First Fruits of them that Slept,1 Corinthians 15:23,
Firstborn,"D&C 93:21-22, Colossians 1:15",
Forerunner,Hebrews 6:20,
Foundation of the Church,1 Cor. 3:11,
Fountain of all Righteousness ,Ether 12:28,
Fountain of Living Waters,"Jeremiah 17:13, 1 Nephi 11:25",
Gift,,
Giver of every Good gift,"Moroni 10:18, James1:17",
God of Israel,"1 Nephi 19:7, 1 Kings 8:15",
God of Jeshurun,Deuteronomy 33:26,
God\'s Anointed,Acts 4:27,
God\'s Holy Child Jesus,"Acts 4:27, 30",
Good Shepherd,"Doctrine and Covenants 50:44, John 10:11, 14",
Governor the Shall Rule Israel,Matthew 2:6,
Great and last sacrifice,Alma 34:14,
Great Physician,"Mark 2:17, Behold the Lamb of God- April 2019",
Great Redeemer,Guide to the Scriptures: Redeemer,https://www.churchofjesuschrist.org/study/scriptures/gs/redeemer?lang=eng,
He That Cometh in the Name of the Lord,"Mathew 21:9, Mark 11:9",
"He that is Holy, He that is True",Rev. 3:7,
He who Liveth,D&C 110:4,
Head,Mosiah 5:8,
Head of Every Man,1 Cor. 11:3,
Head of the Church,Ephesians 5:23,
Healer,,
Heavenly King,Mosiah 2:19,
Heir of All Things,Hebrews 1:2,
High Priest of Good Things to Come,Hebrews 9:11,
High Priest of our Profession,Hebrews 3:1,
Holy,Luke 1:49,
Holy Messiah,2 Nephi 2:6,
Holy One,Psalm 16:10,
Holy One of Israel,"Isaiah 5:19, 2 Nephi 2:10",
Hope of Glory,Col. 1:27,
Hope of Israel,Jeremiah 17:13,
I Am,John 8:58,
I in Thee,John 17:21,
I in Them,John 17:26,
Image of God,2 Cor. 4:4,
